label_frame,meas_frame,label_len,meas_len,x_y
82,78,40.0,47.4,"[1038, 463]"
65,61,42.0,35.6,"[975, 423]"
68,68,20.0,22.86,"[907, 458]"
75,70,20.0,22.67,"[906, 449]"
85,85,18.0,21.36,"[899, 453]"
76,76,18.0,21.73,"[901, 457]"
122,111,30.0,32.79,"[960, 434]"
94,78,28.0,30.16,"[946, 414]"
68,68,35.0,39.16,"[994, 416]"
66,64,36.0,35.78,"[976, 432]"
71,63,37.0,32.04,"[956, 423]"
75,73,39.0,35.78,"[976, 432]"
79,73,34.0,35.97,"[977, 450]"
110,109,40.0,41.22,"[1005, 463]"
74,72,26.0,29.79,"[944, 452]"
69,69,24.0,25.11,"[919, 450]"
83,77,31.0,34.66,"[970, 428]"
84,84,31.0,27.92,"[934, 419]"
85,82,20.0,25.67,"[922, 450]"
88,88,25.0,25.85,"[923, 448]"
79,70,28.0,29.41,"[942, 431]"
69,65,30.0,33.54,"[964, 456]"
131,109,28.0,22.67,"[906, 417]"
103,103,30.0,36.72,"[981, 433]"
75,68,38.0,39.34,"[995, 423]"
89,83,39.0,39.16,"[994, 425]"
85,81,30.0,35.78,"[976, 451]"
80,73,30.0,35.97,"[977, 455]"
73,73,24.0,28.67,"[938, 454]"
102,88,23.0,27.17,"[930, 461]"
136,136,21.0,22.19,"[886, 447]"
75,73,22.0,22.19,"[886, 447]"
299,299,29.0,31.14,"[932, 427]"
94,94,30.0,35.62,"[955, 449]"
94,87,19.0,17.13,"[860, 441]"
88,88,20.0,20.44,"[877, 443]"
93,83,26.0,26.28,"[907, 436]"
69,68,30.0,22.58,"[888, 425]"
70,70,12.0,9.93,"[823, 474]"
89,69,13.0,12.65,"[837, 439]"
73,73,37.0,37.57,"[965, 435]"
80,78,40.0,36.01,"[957, 409]"
145,139,34.0,34.65,"[950, 436]"
118,115,35.0,33.28,"[943, 431]"
99,88,33.0,32.9,"[941, 440]"
115,101,34.0,34.84,"[951, 438]"
67,53,26.0,27.83,"[915, 421]"
94,117,26.0,25.5,"[903, 407]"
83,83,30.0,25.5,"[903, 397]"
132,129,31.0,26.08,"[906, 397]"
97,102,39.0,36.2,"[958, 427]"
115,114,37.0,32.7,"[940, 418]"
110,110,18.0,16.55,"[857, 438]"
93,77,19.0,17.52,"[862, 431]"
64,64,21.0,23.36,"[892, 429]"
83,83,23.0,25.89,"[905, 439]"
93,91,30.0,30.36,"[928, 424]"
84,84,29.0,29.98,"[926, 435]"
103,103,39.0,44.96,"[1003, 445]"
72,72,33.0,33.09,"[942, 439]"
82,78,40.0,43.8,"[997, 453]"
95,96,40.0,31.53,"[934, 432]"
80,73,35.0,15.18,"[850, 626]"
103,99,35.0,14.99,"[849, 625]"
76,76,39.0,38.54,"[970, 464]"
92,87,40.0,41.65,"[986, 466]"
110,110,38.0,38.93,"[972, 428]"
79,71,35.0,37.18,"[963, 457]"
110,108,31.0,31.53,"[934, 436]"
95,95,32.0,32.31,"[938, 423]"
93,93,24.0,24.53,"[898, 438]"
76,76,23.0,16.55,"[857, 412]"
105,104,23.0,19.08,"[870, 430]"
84,86,21.0,20.83,"[879, 436]"
67,67,24.0,22.58,"[888, 423]"
70,70,22.0,22.58,"[888, 425]"
64,61,29.0,30.17,"[927, 431]"
101,98,30.0,30.36,"[928, 438]"
76,71,26.0,17.91,"[864, 406]"
72,61,25.0,25.69,"[904, 423]"
95,92,29.0,25.69,"[904, 440]"
71,71,30.0,28.42,"[918, 442]"
71,62,11.0,10.12,"[824, 433]"
109,91,12.0,7.79,"[812, 410]"
71,66,24.0,22.97,"[890, 442]"
68,66,26.0,24.72,"[899, 441]"
59,55,24.0,23.16,"[891, 441]"
87,82,28.0,25.3,"[902, 437]"
69,63,34.0,33.09,"[942, 444]"
58,57,36.0,36.98,"[962, 445]"
76,76,15.0,11.29,"[830, 431]"
72,72,11.0,10.12,"[824, 436]"
72,70,23.0,23.16,"[891, 442]"
70,67,24.0,23.75,"[894, 443]"
78,75,28.0,28.81,"[920, 429]"
65,61,29.0,30.75,"[930, 432]"
65,60,16.0,15.57,"[852, 416]"
68,60,16.0,17.52,"[862, 420]"
71,66,23.0,24.53,"[898, 452]"
63,52,24.0,26.47,"[908, 451]"
89,83,9.0,5.84,"[802, 447]"
68,68,9.0,7.2,"[809, 457]"
62,62,29.0,32.31,"[938, 428]"
72,69,28.0,29.98,"[926, 433]"
86,86,30.0,26.86,"[910, 448]"
72,72,31.0,20.05,"[875, 518]"
84,84,30.0,33.09,"[942, 438]"
85,76,30.0,32.7,"[940, 441]"
164,163,35.0,11.09,"[829, 559]"
109,112,36.0,35.43,"[954, 454]"
82,77,27.0,26.86,"[910, 404]"
121,79,25.0,21.02,"[880, 409]"
119,105,35.0,38.15,"[968, 448]"
93,82,34.0,34.45,"[949, 430]"
122,129,27.0,25.89,"[905, 454]"
79,78,25.0,22.38,"[887, 443]"
112,112,27.0,25.69,"[904, 456]"
97,97,29.0,28.61,"[919, 468]"
65,60,39.0,37.96,"[967, 450]"
102,102,38.0,38.54,"[970, 452]"
77,77,38.0,23.16,"[891, 546]"
102,91,34.0,34.65,"[950, 460]"
97,86,25.0,26.86,"[910, 448]"
88,81,26.0,29.2,"[922, 453]"
76,87,19.0,19.37,"[913, 456]"
82,77,18.0,17.22,"[901, 458]"
86,81,23.0,23.5,"[936, 452]"
90,81,22.0,22.78,"[932, 463]"
79,48,20.0,10.58,"[864, 374]"
82,78,16.0,15.07,"[889, 434]"
86,80,32.0,31.03,"[978, 446]"
84,69,32.0,30.13,"[973, 421]"
81,77,44.0,46.64,"[1065, 469]"
87,84,45.0,37.67,"[1015, 439]"
